episode;steps;reward;average
509;92;-190.29033457590117;17.1969413649631
510;225;-108.70254660317853;17.5564864279872
511;167;-175.4770427183204;13.614989087308153
512;163;-148.9901958568482;10.644149061014481
513;119;-149.81124613438527;5.974085334890967
514;153;-112.47338669805933;1.9795026665375344
515;137;-124.45625054154863;-1.5613366496209558
516;359;282.19825047473677;-0.7799716618532108
517;261;286.3583347434965;0.03317492655718013
518;991;241.0749279716458;-0.42369329327434174
519;285;290.6456720902474;-0.5315749133037292
520;149;-152.43716246579982;-0.4109409824314838
521;124;-152.65705481199524;-4.3756033750843155
522;128;-130.77915594580193;-8.327199344873733
523;110;-154.03937933710444;-7.844772739917264
524;274;347.3156131767746;-2.2579823599016224
525;146;-114.25725259061026;-0.8884906691717726
526;196;-138.5300148255196;0.5608194643872406
527;1000;-151.6400361942009;1.3241224934090696
528;985;197.4591434008216;6.588372001258574
529;1000;36.32736998925362;9.025759679005498
530;1000;-114.569740875899;10.29559782183861
531;682;194.29677109251037;14.684903034254308
532;350;319.4892162832945;20.5616838075169
533;552;260.66997765719674;25.604192640814304
534;636;266.1092861582553;30.301088738536215
535;236;273.1318045719919;29.5954425710325
536;307;258.2468223614435;34.42149165366453
537;236;-177.19260827225477;34.39055713863924
538;344;259.97789035256;38.577617289221536
539;200;296.1632510538063;42.29708402100233
540;198;310.9674324224879;46.48916529781668
541;189;271.4758589104263;50.927959456433825
542;382;273.6548636171637;54.82476905279457
543;243;-62.97780293616631;56.13914790639849
544;151;-82.73381172840341;56.61465433473154
545;517;184.15708053997335;59.395444928116746
546;1000;-193.71642019610258;58.888512167788605
547;779;114.26395099922432;58.25025288938102
548;310;279.92070315830966;58.16976262196688
549;226;305.34669409701166;62.34186448357906
550;229;293.65996935434833;66.33380310133207
551;575;275.0789159617001;71.43812416453707
552;499;268.5627005119564;71.5834860839465
553;329;310.17199842426015;77.11173548787923
554;211;325.1400758201045;82.23883196063636
555;234;311.1698262046634;87.31213409230914
556;452;311.211177033803;92.95674188565518
557;140;-61.41076938462672;93.98067526075057
558;191;343.1557008524635;99.67207126765453
559;176;309.20313305362424;100.75752970266153
560;378;333.2373867538434;106.27403738583165
561;152;-116.20769547550427;107.85504242786541
562;187;294.5670217654005;113.6019625516269
563;240;330.75101951613755;114.38717125840179
564;652;294.5255162637906;118.19851217398973
565;279;327.03904584992017;121.69579765123612
566;181;-140.33251957360247;121.18003194214312
567;313;310.20587029417504;121.11664339843016
568;222;321.6696072018907;121.87112545541123
569;370;263.5728063150473;121.70248829649736
570;222;308.71780686868124;125.67933636286062
571;212;304.2746358264922;126.15167239561502
572;676;331.5794689274394;127.13877664909755
573;221;289.33213833879984;132.16196541678096
574;243;253.79772716005914;137.2976017324238
575;173;-100.712943825984;138.19835747781576
576;239;310.61090888036233;138.52773370745487
577;1000;-212.01817403065778;133.80628084431623
578;638;169.83003651268064;132.56140104366335
579;201;291.38590799278705;132.498149248906
580;189;-146.90871668162114;128.02992567924676
581;191;316.4582229999123;129.04824638474477
582;218;325.75711688685203;129.26085125662345
583;216;337.7101802197378;129.31967012015832
584;275;281.454431704091;129.408485069069
585;173;-91.70989555992642;125.16392645447037
586;1000;-210.91750462837413;120.98375170865823
587;320;268.0405496024614;120.6453595941453
588;292;300.99777886528034;120.85023868506218
589;248;334.0917362864401;121.11304691654782
590;558;194.85973185064;120.19677770181919
591;268;298.28805140399686;124.44168974465265
592;223;306.05128838470625;128.97980506456233
593;519;174.85168610109397;127.68565709972314
594;189;321.4642420401553;127.71858996443356
595;200;345.2655970911817;128.08506226675033
596;335;299.02453247173986;128.18151525044388
597;186;264.67801292475485;132.0283316589677
598;249;305.2290141474359;136.84274793023948
599;189;313.0497238904987;141.22750669061196
600;263;318.69148795537336;144.09126166952063
601;157;-90.15540000226301;140.65131565895388
602;423;297.98276730327837;144.77645327221364
603;190;310.9294991856591;149.26091308249883
604;244;302.87927948062816;154.058152664384
605;426;264.5994770849886;154.58241633716628
606;134;-145.95459573544417;151.01124276680238
607;241;301.16512504430364;156.45161088697913
608;372;239.94383865654908;161.03105030182718
609;255;324.73772188118477;166.181330866398
610;240;326.5637916999862;170.53399424942967
611;492;290.80866529637564;175.19685132957667
612;547;183.85549994731124;178.52530828761826
613;640;259.3990134541775;182.61741088350388
614;325;290.60904391615935;186.64823518964607
